id;user_name;user_password;user_role
1;mobile Fish;Home Loan Account Table Computer;Tester
2;Metal deposit;Producer;Management
3;Home Loan Account;web-readiness;Tester
4;Gorgeous Frozen Pants;Common;Support
5;HDD;Table Small Frozen Sausages Planner;Tester
6;Bahamian Dollar Investment Account;Games Regional Digitized;Tester
7;Georgia Industrial;connect Markets Chief;Support
8;Aruba;software scale interactive;Tester
9;scalable;Small;Developer
10;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;Tester
